ColumnName	TableName
AUDIT_FECHA	XU_MOVIMIENTOS
AUDIT_FLAGS	XU_MOVIMIENTOS
AUDIT_USUARIO	XU_MOVIMIENTOS
COD_CANAL	XU_MOVIMIENTOS
COD_MONEDA	XU_MOVIMIENTOS
COD_ORIGEN	XU_MOVIMIENTOS
COD_PRODUCTO	XU_MOVIMIENTOS
COD_SUCURSAL	XU_MOVIMIENTOS
CUENTA	XU_MOVIMIENTOS
D1	XU_MOVIMIENTOS
D2	XU_MOVIMIENTOS
D3	XU_MOVIMIENTOS
FECHA	XU_MOVIMIENTOS
FECHA_PROCESO	XU_MOVIMIENTOS
ID_MONEDA	XU_MOVIMIENTOS
ID_RENDICION	XU_MOVIMIENTOS
ID_XU_CSP	XU_MOVIMIENTOS
ID_XU_MOVIMIENTO	XU_MOVIMIENTOS
ID_XU_TIPO_MOVIMIENTO	XU_MOVIMIENTOS
MONTO	XU_MOVIMIENTOS
NRO_RECIBO	XU_MOVIMIENTOS
OBSERVACIONES	XU_MOVIMIENTOS
CODIGO	XU_SISTEMAS
ID_XU_SISTEMA	XU_SISTEMAS
NOMBRE	XU_SISTEMAS
SP_ACTUALIZACION	XU_SISTEMAS
CODIGO	XU_TIPOS_CUENTA
GASTO_MENSUAL	XU_TIPOS_CUENTA
ID_MONEDA	XU_TIPOS_CUENTA
ID_SUB_PRODUCTO	XU_TIPOS_CUENTA
ID_XU_SISTEMA	XU_TIPOS_CUENTA
ID_XU_TIPO_CUENTA	XU_TIPOS_CUENTA
NOMBRE	XU_TIPOS_CUENTA
PARAM1	XU_TIPOS_CUENTA
PARAM2	XU_TIPOS_CUENTA
PARAM3	XU_TIPOS_CUENTA
SALDO_MIN_GASTO_MENSUAL	XU_TIPOS_CUENTA
SALDO_MIN_INTERES	XU_TIPOS_CUENTA
TASA_INTERES	XU_TIPOS_CUENTA
TASA_PREFIJADA	XU_TIPOS_CUENTA
AUDIT_FECHA	XU_TIPOS_CUENTA_HIST
AUDIT_FECHA_BAJA	XU_TIPOS_CUENTA_HIST
AUDIT_USUARIO	XU_TIPOS_CUENTA_HIST
AUDIT_USUARIO_BAJA	XU_TIPOS_CUENTA_HIST
CODIGO	XU_TIPOS_CUENTA_HIST
GASTO_MENSUAL	XU_TIPOS_CUENTA_HIST
ID_MONEDA	XU_TIPOS_CUENTA_HIST
ID_SUB_PRODUCTO	XU_TIPOS_CUENTA_HIST
ID_XU_SISTEMA	XU_TIPOS_CUENTA_HIST
ID_XU_TIPO_CUENTA	XU_TIPOS_CUENTA_HIST
ID_XU_TIPO_CUENTA_HIST	XU_TIPOS_CUENTA_HIST
NOMBRE	XU_TIPOS_CUENTA_HIST
PARAM1	XU_TIPOS_CUENTA_HIST
PARAM2	XU_TIPOS_CUENTA_HIST
PARAM3	XU_TIPOS_CUENTA_HIST
SALDO_MIN_GASTO_MENSUAL	XU_TIPOS_CUENTA_HIST
SALDO_MIN_INTERES	XU_TIPOS_CUENTA_HIST
TASA_INTERES	XU_TIPOS_CUENTA_HIST
TASA_PREFIJADA	XU_TIPOS_CUENTA_HIST
CODIGO	XU_TIPOS_MOVIMIENTOS
ID_XU_TIPO_MOVIMIENTO	XU_TIPOS_MOVIMIENTOS
NOMBRE	XU_TIPOS_MOVIMIENTOS
PARAM1	XU_TIPOS_MOVIMIENTOS
PARAM2	XU_TIPOS_MOVIMIENTOS
PARAM3	XU_TIPOS_MOVIMIENTOS
SIGNO	XU_TIPOS_MOVIMIENTOS
CONCEPTO	XU_ACTUALIZACION_POR_MIGRA
FECHA	XU_ACTUALIZACION_POR_MIGRA
ID_CARPETA_SUB_PRODUCTO	XU_ACTUALIZACION_POR_MIGRA
ID_XU_ACTUALIZACION_POR_MIGRA	XU_ACTUALIZACION_POR_MIGRA
MONTO	XU_ACTUALIZACION_POR_MIGRA
MONTO_ORIG	XU_ACTUALIZACION_POR_MIGRA
S_CAPITAL	XU_ACTUALIZACION_POR_MIGRA
S_EMBARGO	XU_ACTUALIZACION_POR_MIGRA
S_INTERES	XU_ACTUALIZACION_POR_MIGRA
S_ITF	XU_ACTUALIZACION_POR_MIGRA
S_IVA	XU_ACTUALIZACION_POR_MIGRA
S_RET_IIBB	XU_ACTUALIZACION_POR_MIGRA
S_RET_IIGG	XU_ACTUALIZACION_POR_MIGRA
SALDO_ACTUAL	XU_ACTUALIZACION_POR_MIGRA
TIPO	XU_ACTUALIZACION_POR_MIGRA
AUX	XU_ACTUALIZACION_SALDOS
COD_CANAL	XU_ACTUALIZACION_SALDOS
COD_MEDIO	XU_ACTUALIZACION_SALDOS
COD_ORIGEN	XU_ACTUALIZACION_SALDOS
COD_SUCURSAL	XU_ACTUALIZACION_SALDOS
CONCEPTO	XU_ACTUALIZACION_SALDOS
COTIZACION	XU_ACTUALIZACION_SALDOS
DIA	XU_ACTUALIZACION_SALDOS
FECHA	XU_ACTUALIZACION_SALDOS
ID_CARPETA_SUB_PRODUCTO	XU_ACTUALIZACION_SALDOS
ID_XC_DOCUMENTO	XU_ACTUALIZACION_SALDOS
ID_XU_ACTUALIZACION_SALDO	XU_ACTUALIZACION_SALDOS
ID_XU_CSP	XU_ACTUALIZACION_SALDOS
ID_XU_MOVIMIENTO	XU_ACTUALIZACION_SALDOS
MONTO	XU_ACTUALIZACION_SALDOS
MONTO_ORIG	XU_ACTUALIZACION_SALDOS
PROCESADO	XU_ACTUALIZACION_SALDOS
REG_ORDEN	XU_ACTUALIZACION_SALDOS
S_CAPITAL	XU_ACTUALIZACION_SALDOS
S_EMBARGO	XU_ACTUALIZACION_SALDOS
S_INTERES	XU_ACTUALIZACION_SALDOS
S_ITF	XU_ACTUALIZACION_SALDOS
S_IVA	XU_ACTUALIZACION_SALDOS
S_RET_IIBB	XU_ACTUALIZACION_SALDOS
S_RET_IIGG	XU_ACTUALIZACION_SALDOS
SALDO_ACTUAL	XU_ACTUALIZACION_SALDOS
TASA_DIARIA	XU_ACTUALIZACION_SALDOS
TIPO	XU_ACTUALIZACION_SALDOS
ALIAS	XU_CSP
CBU	XU_CSP
FECHA_APERTURA	XU_CSP
FECHA_CIERRE	XU_CSP
GASTO_MENSUAL	XU_CSP
ID_CARPETA_SUB_PRODUCTO	XU_CSP
ID_ESTADO	XU_CSP
ID_XU_CSP	XU_CSP
ID_XU_TIPO_CUENTA	XU_CSP
NUMERO_CUENTA	XU_CSP
SALDO_MIN_GASTO_MENSUAL	XU_CSP
SALDO_MIN_INTERES	XU_CSP
TASA_INTERES	XU_CSP
FECHA_MODIFICACION	XU_CSP_HISTORICO
GASTO_MENSUAL	XU_CSP_HISTORICO
ID_USUARIO	XU_CSP_HISTORICO
ID_XU_CSP	XU_CSP_HISTORICO
ID_XU_CSP_HISTORICO	XU_CSP_HISTORICO
SALDO_MIN_GASTO_MENSUAL	XU_CSP_HISTORICO
SALDO_MIN_INTERES	XU_CSP_HISTORICO
TASA_INTERES	XU_CSP_HISTORICO
